MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,YearBuilt,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtHalfBath,FullBath,HalfBath,Functional,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SalePrice,TotalSF,SalePrice_log
20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,2002,BrkFace,281.0,PConc,No,Unf,0,Unf,0,1777,1777,1795,0,2,0,Typ,Attchd,RFn,2,Y,171,159,0,0,9,2008,230000,3572,12.345838935721968
120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,1976,None,0.0,PConc,No,GLQ,840,Unf,0,200,1040,1060,0,1,0,Typ,Attchd,Unf,2,Y,100,110,0,0,6,2007,129900,2100,11.774527900858468
20,RL,74.4375,8246,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,1968,None,0.0,CBlock,Mn,Rec,188,ALQ,668,204,1060,1060,0,1,0,Typ,Attchd,Unf,1,Y,406,90,0,0,5,2010,154000,2120,11.944714374881176
20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,2007,Stone,640.0,PConc,No,Unf,0,Unf,0,1566,1566,1600,0,2,0,Typ,Attchd,RFn,3,Y,0,56,0,0,7,2009,256300,3166,12.454107814022272
20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,1951,None,0.0,CBlock,Mn,BLQ,234,Rec,486,180,900,900,1,1,0,Typ,Detchd,Unf,2,Y,222,32,0,0,5,2010,134800,1800,11.811554895830454
20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,2007,Stone,200.0,PConc,No,GLQ,1218,Unf,0,486,1704,1704,0,2,0,Typ,Attchd,RFn,3,Y,0,50,0,0,5,2010,306000,3408,12.631343648903034
20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,1957,None,0.0,CBlock,Gd,BLQ,1277,Unf,0,207,1484,1600,0,1,0,Typ,Attchd,RFn,1,Y,288,258,0,0,12,2006,207500,3084,12.242891437918386
30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,1927,None,0.0,BrkTil,No,Unf,0,Unf,0,520,520,520,0,1,0,Typ,Detchd,Unf,1,Y,49,0,87,0,5,2008,68500,1040,11.134603622683905
20,RL,74.4375,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,1966,None,0.0,CBlock,No,Unf,0,Unf,0,1228,1228,1228,0,1,1,Typ,Attchd,Unf,1,Y,0,65,0,0,6,2008,149350,2456,11.914054519303125
20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,2007,None,0.0,PConc,Av,Unf,0,Unf,0,1234,1234,1234,0,2,0,Typ,Attchd,RFn,2,Y,0,30,0,0,1,2008,179900,2468,12.100161978566867
20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1959,None,0.0,CBlock,No,Rec,1018,Unf,0,380,1398,1700,1,1,1,Typ,Attchd,RFn,2,Y,0,38,0,0,4,2010,165500,3098,12.016732516077072
120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,2005,BrkFace,246.0,PConc,No,GLQ,1153,Unf,0,408,1561,1561,0,2,0,Typ,Attchd,Fin,2,Y,203,47,0,0,8,2007,277500,3122,12.533579815765737
60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,2004,Stone,132.0,PConc,Av,Unf,0,Unf,0,1117,1117,2452,0,3,1,Typ,BuiltIn,Fin,3,Y,113,32,0,0,9,2006,309000,3569,12.6410997921206
20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,1994,None,0.0,PConc,No,Unf,0,Unf,0,1097,1097,1097,0,1,1,Typ,Attchd,Unf,2,Y,392,64,0,0,6,2009,145000,2194,11.884495917930655
20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1954,BrkFace,650.0,CBlock,No,Rec,1213,Unf,0,84,1297,1297,1,1,0,Typ,Attchd,Fin,2,Y,0,0,0,0,10,2009,153000,2594,11.938199736300925
20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1953,None,0.0,CBlock,No,GLQ,731,Unf,0,326,1057,1057,0,1,0,Typ,Detchd,Unf,1,Y,0,52,0,0,1,2010,109000,2114,11.599112335481124
90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,1955,None,0.0,PConc,None,None,0,None,0,0,0,1152,0,2,0,Typ,None,None,0,N,0,0,0,0,6,2008,82000,1152,11.314486721293981
20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1965,BrkFace,101.0,CBlock,No,Rec,643,Unf,0,445,1088,1324,0,2,0,Typ,Attchd,RFn,2,Y,0,138,0,0,12,2006,160000,2412,11.982935344196433
20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,1959,None,0.0,CBlock,Gd,BLQ,967,Unf,0,383,1350,1328,1,1,1,Typ,Attchd,RFn,1,P,0,104,0,0,7,2007,170000,2678,12.04355959836804
85,RL,71.5,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,1983,None,0.0,CBlock,Av,ALQ,747,LwQ,93,0,840,884,0,1,0,Typ,Attchd,RFn,2,Y,240,0,0,0,12,2007,144000,1724,11.87757552297847
20,RL,71.68253968253968,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,1975,None,0.0,CBlock,Av,LwQ,280,BLQ,491,167,938,938,0,1,0,Typ,Detchd,Unf,1,Y,145,0,0,0,7,2008,130250,1876,11.777218637129327
20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1959,None,0.0,CBlock,No,ALQ,179,BLQ,506,465,1150,1150,0,1,0,Typ,Attchd,RFn,1,Y,0,0,0,0,5,2006,141000,2300,11.856522261533737
120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,2005,BrkFace,412.0,PConc,No,GLQ,456,Unf,0,1296,1752,1752,0,2,0,Typ,Attchd,RFn,2,Y,196,82,0,0,2,2010,319900,3504,12.675766851909591
50,RL,48.0,12822,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,2003,None,0.0,PConc,No,GLQ,1351,Unf,0,83,1434,2149,0,1,1,Typ,Attchd,RFn,2,Y,168,43,0,198,8,2009,239686,3583,12.387089184491993
20,FV,84.0,11096,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,2006,None,0.0,PConc,Av,GLQ,24,Unf,0,1632,1656,1656,0,2,0,Typ,Attchd,RFn,3,Y,0,146,0,0,7,2007,249700,3312,12.428019481065613
190,RM,33.0,4456,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,1920,None,0.0,BrkTil,No,Unf,0,Unf,0,736,736,1452,0,2,0,Typ,None,None,0,N,0,0,102,0,6,2009,113000,2188,11.635151947212842
20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,1966,None,0.0,CBlock,No,BLQ,763,Unf,0,192,955,955,0,1,0,Typ,Attchd,Unf,1,Y,0,0,0,0,1,2007,127000,1910,11.751950239425476
60,RL,79.87755102040816,13869,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,1997,None,0.0,PConc,Av,GLQ,182,Unf,0,612,794,1470,1,2,0,Typ,Attchd,Fin,2,Y,0,75,0,0,7,2007,177000,2264,12.083910661257521
50,RM,52.0,6240,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,1934,None,0.0,PConc,No,Unf,0,Unf,0,816,816,1176,0,1,0,Typ,Detchd,Unf,2,Y,112,0,0,0,9,2006,114500,1632,11.648338835562747
90,RM,110.0,8472,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,1963,None,0.0,CBlock,Gd,LwQ,104,GLQ,712,0,816,816,0,1,0,Typ,CarPort,Unf,2,Y,106,0,0,0,5,2010,110000,1632,11.608244735642321
20,RL,68.0,50271,IR1,Low,Inside,Gtl,Veenker,Norm,1Fam,1Story,1981,None,0.0,CBlock,Gd,GLQ,1810,Unf,0,32,1842,1842,0,0,1,Typ,Attchd,Fin,3,Y,857,72,0,0,11,2006,385000,3684,12.861001210669146
80,RL,60.0,7134,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,1955,None,0.0,CBlock,No,ALQ,384,Unf,0,0,384,1360,0,1,0,Min1,Detchd,Unf,2,Y,0,50,0,0,2,2007,130000,1744,11.775297421715827
20,RL,100.0,10175,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1964,BrkFace,272.0,CBlock,No,BLQ,490,Unf,0,935,1425,1425,0,2,0,Typ,Attchd,RFn,2,Y,0,0,0,0,7,2008,180500,2850,12.103491596905931
160,FV,24.0,2645,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,1999,BrkFace,456.0,PConc,No,GLQ,649,Unf,0,321,970,1739,0,2,1,Typ,Attchd,Fin,2,Y,115,0,0,0,8,2009,172500,2709,12.058158312538197
60,RL,89.0,11645,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,2004,None,0.0,PConc,No,Unf,0,Unf,0,860,860,1720,0,2,1,Typ,Attchd,RFn,2,Y,0,70,0,0,8,2006,196500,2580,12.188422799337028
60,RL,66.0,13682,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,2006,BrkFace,1031.0,PConc,Gd,Unf,0,Unf,0,1410,1410,2945,0,3,1,Typ,BuiltIn,Fin,3,Y,192,0,37,0,10,2006,438780,4355,12.991755706536901
20,RL,60.0,7200,Reg,Bnk,Inside,Gtl,CollgCr,Norm,1Fam,1Story,1972,None,0.0,CBlock,Av,ALQ,632,Unf,0,148,780,780,0,1,0,Typ,Detchd,Unf,1,Y,196,0,0,0,1,2008,124900,1560,11.735276702486741
20,RL,63.0,13072,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,2004,None,0.0,PConc,No,ALQ,941,Unf,0,217,1158,1158,0,1,1,Typ,Detchd,Unf,2,Y,0,50,0,0,5,2006,158000,2316,11.970356641102999
75,RM,60.0,7200,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,1920,None,0.0,BrkTil,No,Unf,0,Unf,0,530,530,1111,0,1,0,Typ,Detchd,Unf,1,N,0,0,144,0,3,2007,101000,1641,11.522885696764481
120,RL,44.0,6442,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,2006,Stone,178.0,PConc,Mn,GLQ,24,Unf,0,1346,1370,1370,0,2,0,Typ,Attchd,RFn,2,Y,120,49,0,0,10,2007,202500,2740,12.218500103788143
70,RM,50.0,10300,IR1,Bnk,Inside,Gtl,OldTown,RRAn,1Fam,2Story,1921,None,0.0,BrkTil,No,Unf,0,Unf,0,576,576,1710,0,2,0,Typ,Detchd,Unf,2,Y,12,11,64,0,4,2010,140000,2286,11.849404844423074
60,RL,71.68253968253968,9375,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,1997,BrkFace,573.0,PConc,No,GLQ,739,Unf,0,318,1057,2034,0,2,1,Typ,Attchd,RFn,2,Y,576,36,0,0,2,2009,219500,3091,12.299112067295642
60,RL,76.0,9591,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,2004,BrkFace,344.0,PConc,Av,Unf,0,Unf,0,1143,1143,2473,0,2,1,Typ,BuiltIn,RFn,3,Y,192,151,0,0,10,2007,317000,3616,12.666660207428574
20,RL,76.46236559139786,19900,Reg,Lvl,Inside,Gtl,NAmes,PosA,1Fam,1Story,1970,BrkFace,287.0,CBlock,Gd,GLQ,912,Unf,0,1035,1947,2207,0,2,0,Min1,Attchd,RFn,2,Y,301,0,0,0,7,2010,180000,4154,12.100717685412471
20,RL,72.0,10665,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,2003,BrkFace,167.0,PConc,Av,GLQ,1013,Unf,0,440,1453,1479,0,2,0,Typ,Attchd,RFn,2,Y,144,29,0,0,6,2007,226000,2932,12.328294703023394
30,RM,47.0,4608,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1Story,1945,None,0.0,CBlock,No,Unf,0,Unf,0,747,747,747,0,1,0,Typ,Attchd,Unf,1,Y,0,0,0,0,6,2010,80000,1494,11.289794413577894
50,RL,81.0,15593,Reg,Lvl,Corner,Gtl,ClearCr,Norm,1Fam,1.5Fin,1953,None,0.0,CBlock,No,BLQ,603,Unf,0,701,1304,2287,0,2,0,Typ,Attchd,Fin,2,Y,0,21,114,0,7,2006,225000,3591,12.323860125621126
20,RL,95.0,13651,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1973,BrkFace,1115.0,CBlock,Gd,ALQ,1880,Unf,0,343,2223,2223,0,2,0,Typ,Attchd,Fin,2,Y,300,0,0,0,2,2007,244000,4446,12.404927602627597
20,RL,69.0,7599,Reg,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,1Story,1982,None,0.0,CBlock,No,ALQ,565,Unf,0,280,845,845,0,1,0,Typ,Detchd,Unf,2,Y,0,0,0,0,6,2007,129500,1690,11.771443882099637
60,RL,74.0,10141,IR1,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,1998,BrkFace,40.0,PConc,No,Unf,0,Unf,0,832,832,1718,0,2,1,Typ,Attchd,Fin,2,Y,0,94,0,291,12,2009,185000,2550,12.128116509451258
20,RL,85.0,10200,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1954,BrkFace,104.0,CBlock,No,ALQ,320,BLQ,362,404,1086,1086,0,1,0,Typ,Attchd,Unf,2,Y,0,0,0,0,5,2010,144900,2172,11.88380602959621
50,RM,60.0,5790,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2Story,1915,None,0.0,CBlock,No,Unf,0,Unf,0,840,840,1605,0,2,0,Typ,Detchd,Unf,1,Y,0,0,202,0,5,2010,107400,2445,11.58432477200052
180,RM,21.0,1596,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,SLvl,1973,None,0.0,CBlock,Gd,GLQ,462,Unf,0,0,462,988,0,1,0,Typ,BuiltIn,Unf,1,Y,120,101,0,0,11,2009,91000,1450,11.418625774449596
20,RL,76.46236559139786,8475,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1956,None,0.0,CBlock,No,ALQ,228,Unf,0,724,952,952,0,1,0,Typ,Detchd,Unf,1,Y,0,0,0,0,4,2008,135750,1904,11.818577604251555
50,RM,50.0,8635,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,1948,None,0.0,CBlock,No,BLQ,336,GLQ,41,295,672,1285,0,1,0,Min1,Detchd,Unf,1,Y,0,0,0,0,1,2008,127000,1957,11.751950239425476
90,RL,72.0,10778,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,1968,None,0.0,CBlock,No,Unf,0,Unf,0,1768,1768,1768,0,2,0,Typ,None,None,0,Y,0,0,0,0,4,2010,136500,3536,11.824087219587643
50,RM,60.0,10440,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2Story,1910,None,0.0,PConc,No,Unf,0,Unf,0,440,440,1230,0,1,1,Typ,Detchd,Unf,2,Y,74,0,128,0,5,2009,110000,1670,11.608244735642321
60,RL,100.0,13000,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,2Story,1968,BrkFace,576.0,CBlock,No,Rec,448,Unf,0,448,896,2142,0,2,1,Typ,Attchd,Fin,1,Y,0,72,0,252,6,2009,193500,3038,12.173037959397275
120,RM,32.0,4500,Reg,Lvl,FR2,Gtl,Mitchel,Norm,TwnhsE,1Story,1998,BrkFace,443.0,PConc,No,GLQ,1201,Unf,0,36,1237,1337,0,2,0,Typ,Attchd,Fin,2,Y,0,199,0,0,3,2006,153500,2574,11.941462360646149
20,RL,78.0,10206,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,2007,Stone,468.0,PConc,No,GLQ,33,Unf,0,1530,1563,1563,0,2,0,Typ,Attchd,RFn,3,Y,144,99,0,0,10,2008,245000,3126,12.409017571151187
20,RL,80.0,8892,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1960,BrkCmn,66.0,CBlock,No,Unf,0,Unf,0,1065,1065,1065,0,1,1,Typ,Detchd,Unf,2,Y,74,0,0,0,7,2007,126500,2130,11.748005492256807
80,RL,79.87755102040816,8530,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,1995,BrkFace,22.0,PConc,No,Unf,0,Unf,0,384,384,1474,0,2,1,Typ,BuiltIn,Fin,2,Y,120,72,0,0,5,2009,168500,1858,12.034696963475044
60,RL,121.0,16059,Reg,Lvl,Corner,Gtl,NoRidge,Norm,1Fam,2Story,1991,BrkFace,284.0,CBlock,No,Unf,0,Unf,0,1288,1288,2417,0,2,1,Typ,Attchd,Unf,2,Y,127,82,0,0,4,2006,260000,3705,12.468440756144114
60,RL,122.0,11911,IR2,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,2005,None,0.0,PConc,Av,Unf,0,Unf,0,684,684,1560,0,2,1,Typ,BuiltIn,Fin,2,Y,100,38,0,0,3,2009,174000,2244,12.066816325306588
160,FV,40.0,3951,Reg,Lvl,Corner,Gtl,Somerst,Norm,TwnhsE,2Story,2009,Stone,76.0,PConc,Av,Unf,0,Unf,0,612,612,1224,0,2,1,Typ,Detchd,RFn,2,Y,0,234,0,0,6,2009,164500,1836,12.010671928196443
20,RL,60.0,8070,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,1994,None,0.0,PConc,No,GLQ,588,Unf,0,402,990,990,0,1,0,Typ,None,None,0,Y,0,0,0,0,8,2007,123600,1980,11.724813914587886
20,RL,60.0,7200,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1950,None,0.0,Slab,None,None,0,None,0,0,0,1040,0,1,0,Typ,Detchd,Unf,2,Y,0,29,0,0,7,2006,109900,1040,11.60733523953139
20,RL,85.0,8500,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1961,BrkCmn,203.0,CBlock,No,Rec,600,Unf,0,635,1235,1235,0,1,0,Typ,Attchd,Unf,2,Y,0,0,0,0,12,2006,98600,2470,11.498836682527127
30,RL,80.0,13360,IR1,HLS,Inside,Gtl,Crawfor,Norm,1Fam,1Story,1921,None,0.0,BrkTil,No,ALQ,713,Unf,0,163,876,964,0,1,0,Typ,Detchd,Unf,2,Y,0,0,44,0,8,2009,163500,1840,12.004574385508691
60,RL,69.0,9337,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,1997,None,0.0,PConc,No,GLQ,648,Unf,0,176,824,1786,0,2,1,Typ,Attchd,RFn,2,Y,0,162,0,0,5,2007,204750,2610,12.229549885708273
60,RL,79.87755102040816,9765,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,1993,BrkFace,68.0,PConc,No,ALQ,310,Unf,0,370,680,1470,0,2,1,Typ,BuiltIn,Fin,2,Y,232,63,0,0,4,2009,185000,2150,12.128116509451258
20,RL,78.0,10264,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,1999,BrkFace,183.0,PConc,Av,ALQ,1162,Unf,0,426,1588,1588,0,2,0,Typ,Attchd,RFn,2,Y,158,29,0,0,8,2006,214000,3176,12.273735966890268
20,RL,73.0,10921,Reg,HLS,Inside,Gtl,Edwards,Norm,1Fam,1Story,1965,BrkFace,48.0,CBlock,No,Rec,520,Unf,0,440,960,960,0,1,0,Typ,Attchd,Fin,1,P,120,0,0,0,5,2007,94750,1920,11.459007676978688
30,RL,85.0,10625,Reg,Lvl,Corner,Gtl,Edwards,Norm,1Fam,1Story,1920,None,0.0,BrkTil,No,ALQ,108,Unf,0,350,458,835,0,1,0,Typ,Basment,Unf,1,Y,0,0,77,0,5,2010,83000,1293,11.326607934898927
20,RL,77.0,9320,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,1959,None,0.0,CBlock,No,ALQ,569,Unf,0,381,950,1225,0,1,1,Typ,None,None,0,Y,352,0,0,0,1,2010,128950,2175,11.767187766223199
